D KAISERS01;Niemcy;TECHNISCHE UNIVERSITÄT KAISERSLAUTERN;W2;Budownictwa;true;;true;;false;;"(2,6)";0732;Building and civil engineering;;27.04.2016;30.09.2021
D KARLSRU01;Niemcy;KARLSRUHER INSTITUT FUR TECHNOLOGIE;W8N;Zarządzania;true;;true;;false;;"(2,5)";0418;Business and Administration;;18.02.2014;30.09.2021
D KARLSRU01;Niemcy;KARLSRUHER INSTITUT FUR TECHNOLOGIE;W12N;Elektroniki Fotoniki i Mikrosystemów;true;;true;;true;;"(2,5)";0714;Electronics and automation;;14.03.2014;30.09.2021
D KARLSRU01;Niemcy;KARLSRUHER INSTITUT FUR TECHNOLOGIE;W1;Architektury;false;;true;;false;;"(1,10)";0731;Architecture and town planning;;14.03.2014;30.09.2021
D KASSEL01;Niemcy;UNIVERSITÄT KASSEL;W8N;Zarządzania;true;;true;;false;;"(2,5)";0410;Business and Administration;;16.11.2016;30.09.2021
D KOBLENZ02;Niemcy;UNIVERSITÄT KOBLENZ-LANDAU;W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(2,10)";0481;Computer science;;24.01.2014;30.09.2021
D KOLN04;Niemcy;FACHHOCHSCHULE KÖLN;W3;Chemiczny;true;;true;;false;;"(2,10)";0442;Chemistry;;21.03.2014;30.09.2021
D LEIPZIG01;Niemcy;UNIVERSITÄT LEIPZIG;W11;Podstawowych Problemów Techniki;true;;true;;true;;"(1,12)";0442;Chemistry (+Physics out);;01.10.2014;30.09.2021
D LEIPZIG02;Niemcy;HTWK LEIPZIG;W2;Budownictwa;true;;true;;false;;"(2,10)";0700;Engineering, manufacturing and construction;;17.03.2016;30.09.2021
D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W11;Podstawowych Problemów Techniki;true;;true;;true;;"(2,6)";0533;Physics;;09.02.2015;30.09.2021
D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W5;Elektryczny;true;;true;;true;;"(2,10)";0713;Electricity and energy;;27.05.2014;30.09.2021
D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W10;Mechaniczny;false;;true;;false;;"(1,10)";0715;Mechanics and metal trades;;25.01.2017;30.09.2021
D MUNCHEN02;Niemcy;TECHNISCHE UNIVERSTAT MUNCHEN;W2;Budownictwa;true;;true;;false;;"(2,5)";0732;Building and civil engineering;;27.05.2014;30.09.2021
